PIC50_RET wild,can_smile,id,id_new,smiles
9.769551079,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O)[C@@H](O)[C@H]1O,,reaxys_32973360,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)C(Cl)(Cl)P(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
6.198970004,c1cc(CNc2ncc3ncn(-c4ccc5[nH]ncc5c4)c3n2)ccn1,,reaxys_21798299,C(NC1=NC=C2N=CN(C2=N1)C1=CC=C2NN=CC2=C1)C1=CC=NC=C1
7.443697499,CO[C@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,,reaxys_10736002,CO[C@H](C(=O)N1CC2=C(C1)C(NC(=O)C1=CC=C(C=C1)N1CCN(C)CC1)=NN2)C1=CC=CC=C1
10.04575749,Cc1cc(NC(=O)c2c(C#Cc3cccnc3)n(C3(C)CC3)c3ncnc(N)c23)n[nH]1,,reaxys_32243529,CC1=CC(NC(=O)C2=C(C#CC3=CC=CN=C3)N(C3=NC=NC(N)=C23)C2(C)CC2)=NN1
10,Cc1cc(NC(=O)c2c(C#CCC3(O)CCC3)n(C3(C)CC3)c3ncnc(N)c23)n[nH]1,,reaxys_32243534,CC1=CC(NC(=O)C2=C(C#CCC3(O)CCC3)N(C3=NC=NC(N)=C23)C2(C)CC2)=NN1
10,Cc1cc(NC(=O)c2c(C#CCN3CCOCC3)n(C3(C)CC3)c3ncnc(N)c23)n[nH]1,,reaxys_32243533,CC1=CC(NC(=O)C2=C(C#CCN3CCOCC3)N(C3=NC=NC(N)=C23)C2(C)CC2)=NN1
10,CCC(O)CC#Cc1c(C(=O)Nc2ccc(COC)cc2)c2c(N)ncnc2n1C1(C)CC1,,reaxys_32414595,CCC(O)CC#CC1=C(C(=O)NC2=CC=C(COC)C=C2)C2=C(N=CN=C2N)N1C1(C)CC1
10,CCOc1cc(-c2ccc(NC(=O)Nc3ccc(CN4CCN(CC)CC4)c(C(F)(F)F)c3)c(F)c2)c[nH]c1=O,,reaxys_29457971,CCOC1=CC(=CNC1=O)C1=CC(F)=C(NC(=O)NC2=CC(=C(CN3CCN(CC)CC3)C=C2)C(F)(F)F)C=C1
10,COCc1ccc(NC(=O)c2c(C#CC3(O)CCCC3)n(C3(C)CC3)c3ncnc(N)c23)cc1,,reaxys_32339784,COCC1=CC=C(NC(=O)C2=C(C#CC3(O)CCCC3)N(C3=NC=NC(N)=C23)C2(C)CC2)C=C1
10,COCc1ccc(NC(=O)c2c(C#Cc3cnc4cccnn34)n(C3(C)CC3)c3ncnc(N)c23)cc1,,reaxys_32339778,COCC1=CC=C(NC(=O)C2=C(C#CC3=CN=C4C=CC=NN34)N(C3=NC=NC(N)=C23)C2(C)CC2)C=C1
10,CSCc1ccc(NC(=O)c2c(Br)n(C3(C)CC3)c3ncnc(N)c23)cc1,,reaxys_32339701,CSCC1=CC=C(NC(=O)C2=C(Br)N(C3=NC=NC(N)=C23)C2(C)CC2)C=C1
9.853871964,Cc1cc(NC(=O)c2c(Br)n(C3(C)CC3)c3ncnc(N)c23)n[nH]1,,reaxys_32243525,CC1=CC(NC(=O)C2=C(Br)N(C3=NC=NC(N)=C23)C2(C)CC2)=NN1
9.823908741,CC(C)(C)n1cc(C(=O)Nc2cc(Br)[nH]n2)c2c(N)ncnc21,,reaxys_32243512,CC(C)(C)N1C=C(C(=O)NC2=NNC(Br)=C2)C2=C(N)N=CN=C12
9.823908741,CC(C)(C)n1nc(C(=O)Nc2cc(Br)[nH]n2)c2c(N)ncnc21,,reaxys_32243486,CC(C)(C)N1N=C(C(=O)NC2=NNC(Br)=C2)C2=C(N)N=CN=C12
9.823908741,CC(C)(CF)n1cc(C(=O)Nc2cc(Br)[nH]n2)c2c(N)ncnc21,,reaxys_32243515,CC(C)(CF)N1C=C(C(=O)NC2=NNC(Br)=C2)C2=C(N)N=CN=C12
9.823908741,CC1(n2cc(C(=O)Nc3cc(Br)[nH]n3)c3c(N)ncnc32)CC1,,reaxys_32243516,CC1(CC1)N1C=C(C(=O)NC2=NNC(Br)=C2)C2=C(N)N=CN=C12
9.823908741,Cc1cc(NC(=O)c2c(C#CC3CCOCC3)n(C3(C)CC3)c3ncnc(N)c23)n[nH]1,,reaxys_32243535,CC1=CC(NC(=O)C2=C(C#CC3CCOCC3)N(C3=NC=NC(N)=C23)C2(C)CC2)=NN1
9.823908741,Cc1cc(NC(=O)c2c(C#Cc3cnn(C)c3)n(C3(C)CC3)c3ncnc(N)c23)n[nH]1,,reaxys_32243531,CN1C=C(C=N1)C#CC1=C(C(=O)NC2=NNC(C)=C2)C2=C(N)N=CN=C2N1C1(C)CC1
9.795880017,Cc1cc(NC(=O)c2cn(C(C)(C)C3CC3)c3ncnc(N)c23)n[nH]1,,reaxys_32243501,CC1=CC(NC(=O)C2=CN(C3=NC=NC(N)=C23)C(C)(C)C2CC2)=NN1
9.769551079,Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,,reaxys_32243500,CC1=CC(NC(=O)C2=CN(C3=NC=NC(N)=C23)C2(C)CC2)=NN1
9.769551079,Cc1cc(NC(=O)c2c(C#Cc3cncn3C)n(C3(C)CC3)c3ncnc(N)c23)n[nH]1,,reaxys_32243532,CN1C=NC=C1C#CC1=C(C(=O)NC2=NNC(C)=C2)C2=C(N)N=CN=C2N1C1(C)CC1
9.698970004,COCCOc1cc2ncnc(Nc3c(F)ccc(O)c3F)c2cc1OC,,reaxys_28252820,COCCOC1=C(OC)C=C2C(NC3=C(F)C=CC(O)=C3F)=NC=NC2=C1
9.698970004,Cc1cc(NC(=O)c2cn(C(C)(C)CF)c3ncnc(N)c23)n[nH]1,,reaxys_32243499,CC1=CC(NC(=O)C2=CN(C3=NC=NC(N)=C23)C(C)(C)CF)=NN1
9.698970004,Cc1n[nH]c2ccc(-c3cc(N[C@@H](CO)c4ccccc4)cnc3-c3cc(F)ccc3O)cc12,,reaxys_31541169,CC1=NNC2=C1C=C(C=C2)C1=CC(N[C@@H](CO)C2=CC=CC=C2)=CN=C1C1=CC(F)=CC=C1O
9.698970004,CCOc1cc(=O)[nH]cc1-c1ccc(CC(=O)Nc2ccc(CC(C)(C)N)c(C(F)(F)F)c2)c(F)c1,,reaxys_33069944,CCOC1=CC(=O)NC=C1C1=CC=C(CC(=O)NC2=CC=C(CC(C)(C)N)C(=C2)C(F)(F)F)C(F)=C1
9.698970004,CNC(=O)c1ncc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(CCO)CC4)c(C(F)(F)F)c3)ccc2C)n1C,,reaxys_21598472,CNC(=O)C1=NC=C(C#CC2=CC(=CC=C2C)C(=O)NC2=CC=C(CN3CCN(CCO)CC3)C(=C2)C(F)(F)F)N1C
9.698970004,COCc1ccc(NC(=O)c2c(C#CC(O)C3CC3)n(C3(C)CC3)c3ncnc(N)c23)cc1,,reaxys_32414569,COCC1=CC=C(NC(=O)C2=C(C#CC(O)C3CC3)N(C3=C2C(N)=NC=N3)C2(C)CC2)C=C1
9.698970004,CC#Cc1c(C(=O)Nc2ccc(COC)cc2)c2c(N)ncnc2n1C1(C)CC1,,reaxys_32339781,COCC1=CC=C(NC(=O)C2=C(C#CC)N(C3=NC=NC(N)=C23)C2(C)CC2)C=C1
9.698970004,COCc1ccc(NC(=O)c2c(C#Cc3ccc(N)nc3)n(C3(C)CC3)c3ncnc(N)c23)cc1,,reaxys_32339787,COCC1=CC=C(NC(=O)C2=C(C#CC3=CC=C(N)N=C3)N(C3=NC=NC(N)=C23)C2(C)CC2)C=C1
9.698970004,COCc1ccc(NC(=O)c2c(C#Cc3ccncc3)n(C3(C)CC3)c3ncnc(N)c23)cc1,,reaxys_32414616,COCC1=CC=C(NC(=O)C2=C(C#CC3=CC=NC=C3)N(C3=C2C(N)=NC=N3)C2(C)CC2)C=C1
9.698970004,COCc1ccc(NC(=O)c2c(C#Cc3cnc4ccoc4c3)n(C3(C)CC3)c3ncnc(N)c23)cc1,,reaxys_32414597,COCC1=CC=C(NC(=O)C2=C(C#CC3=CN=C4C=COC4=C3)N(C3=C2C(N)=NC=N3)C2(C)CC2)C=C1
9.698970004,COCc1ccc(NC(=O)c2c(C#Cc3cn[nH]c3)n(C3(C)CC3)c3ncnc(N)c23)cc1,,reaxys_32414598,COCC1=CC=C(NC(=O)C2=C(C#CC3=CNN=C3)N(C3=C2C(N)=NC=N3)C2(C)CC2)C=C1
9.698970004,COCc1ccc(NC(=O)c2c(C#CC3CCC(=O)CC3)n(C3(C)CC3)c3ncnc(N)c23)cc1,,reaxys_32414574,COCC1=CC=C(NC(=O)C2=C(C#CC3CCC(=O)CC3)N(C3=C2C(N)=NC=N3)C2(C)CC2)C=C1
9.698970004,COCc1ccc(NC(=O)c2c(C#CC3CCOCC3)n(C3(C)CC3)c3ncnc(N)c23)cc1,,reaxys_32339774,COCC1=CC=C(NC(=O)C2=C(C#CC3CCOCC3)N(C3=NC=NC(N)=C23)C2(C)CC2)C=C1
